season_year,race_number,race_name,track_name,race_date,cautions_number,green_flag_percent,average_green_flag_run_laps,number_of_leaders,average_leading_run_laps,most_laps_led,most_laps_led_driver,most_laps_led_percent
2022,1,Daytona 500,Daytona International Speedway,2022-02-20,7,0.8159203980099502,20.5,13,5.742857142857143,67,Brad Keselowski,0.3333333333333333
2022,2,Wise Power 400,Auto Club Speedway,2022-02-27,12,0.705,10.846153846153848,9,6.25,90,Tyler Reddick,0.45
2022,3,Pennzoil 400,Las Vegas Motor Speedway,2022-03-06,12,0.781021897810219,16.46153846153846,15,11.416666666666666,83,Ross Chastain,0.3029197080291971
2022,4,Ruoff Mortgage 500k,Phoenix Raceway,2022-03-13,8,0.8333333333333334,28.88888888888889,6,20.8,143,Ryan Blaney,0.4583333333333333
2022,5,Folds of Honor QuikTrip 500,Atlanta Motor Speedway,2022-03-20,11,0.8,21.666666666666668,20,7.065217391304348,111,William Byron,0.3415384615384615
2022,6,Echopark Automotive Texas Grand Prix,Circuit of the Americas,2022-03-27,9,0.8115942028985508,5.6,9,5.3076923076923075,31,Ross Chastain,0.4492753623188406
2022,7,Toyota Owners 400,Richmond Raceway,2022-04-03,5,0.9125,60.833333333333336,7,28.571428571428573,128,Ryan Blaney,0.32
2022,8,Blue Emu Maximum Pain Relief 400,Martinsville Speedway,2022-04-09,4,0.9106699751861044,73.4,4,67.16666666666667,212,William Byron,0.5260545905707196
2022,9,Food City Dirt Race,Bristol Motor Speedway Dirt Track,2022-04-17,14,0.672,11.2,5,41.666666666666664,99,Tyler Reddick,0.396
2022,10,GEICO 500,Talladega Superspeedway,2022-04-24,6,0.851063829787234,22.857142857142858,16,4.476190476190476,38,William Byron,0.202127659574468
2022,11,Duramax Drydene 400,Dover Motor Speedway,2022-05-02,13,0.8125,25.0,10,22.22222222222222,103,Kyle Busch,0.2575
2022,12,Goodyear 400,Darlington Raceway,2022-05-08,9,0.8395904436860068,24.6,13,12.208333333333334,107,Joey Logano,0.3651877133105802
2022,13,Advent Health 400,Kansas Speedway,2022-05-15,8,0.8239700374531835,24.444444444444443,10,14.052631578947368,116,Kurt Busch,0.4344569288389513
2022,14,Coca-Cola 600,Charlotte Motor Speedway,2022-05-29,18,0.7820823244552058,17.0,13,13.32258064516129,153,Ross Chastain,0.3704600484261501
2022,15,Enjoy Illinois 300,World Wide Technology Raceway at Gateway,2022-06-05,10,0.7836734693877551,17.454545454545453,9,18.846153846153847,66,Kyle Busch,0.2693877551020408
2022,16,Toyota Save Mart 350,Sonoma Raceway,2022-06-12,4,0.8727272727272727,19.2,6,15.714285714285714,47,Daniel Suarez,0.4272727272727272
2022,17,Ally 400,Nashville Superspeedway,2022-06-26,10,0.81,22.09090909090909,7,15.789473684210526,114,Denny Hamlin,0.38
2022,18,Kwik Trip 250 Presented by Jockey,Road America,2022-07-03,2,0.967741935483871,20.0,6,6.888888888888889,36,Chase Elliott,0.5806451612903226
2022,19,Quaker State 400 Presented by Walmart,Atlanta Motor Speedway,2022-07-10,13,0.7538461538461538,15.076923076923077,12,9.62962962962963,96,Chase Elliott,0.3692307692307692
2022,20,Ambetter 301,New Hampshire Motor Speedway,2022-07-17,9,0.8272425249169435,24.9,7,33.44444444444444,172,"Martin Truex, Jr.",0.5714285714285714
2022,21,M&M's Fan Appreciation 400,Pocono Raceway,2022-07-24,9,0.76875,12.3,10,10.666666666666666,63,Kyle Busch,0.39375
2022,22,Verizon 200 at the Brickyard,Indianapolis Grand Prix Circuit,2022-07-31,5,0.8255813953488372,11.833333333333334,7,8.6,38,Tyler Reddick,0.4418604651162791
2022,23,FireKeepers Casino 400,Michigan International Speedway,2022-08-07,7,0.82,20.5,10,12.5,38,Denny Hamlin,0.19
2022,24,Federated Auto Parts 400,Richmond Raceway,2022-08-14,5,0.93,62.0,9,25.0,222,Joey Logano,0.555
2022,25,Go Bowling at the Glen,Watkins Glen International,2022-08-21,5,0.8777777777777778,13.166666666666666,9,6.923076923076923,29,Chase Elliott,0.3222222222222222
2022,26,Coke Zero Sugar 400,Daytona International Speedway,2022-08-28,7,0.8125,16.25,19,4.102564102564102,31,Chase Elliott,0.19375
2022,27,Cook Out Southern 500,Darlington Raceway,2022-09-04,9,0.8419618528610354,30.9,11,16.681818181818183,155,Kyle Busch,0.4223433242506812
2022,28,Hollywood Casino 400,Kansas Speedway,2022-09-11,9,0.8389513108614233,22.4,12,16.6875,107,Alex Bowman,0.4007490636704119
2022,29,Bass Pro Shops NRA Night Race,Bristol Motor Speedway,2022-09-17,11,0.84,35.0,6,38.46153846153846,169,Chris Buescher,0.338
2022,30,Autotrader Echo Park Automotive 500,Texas Motor Speedway,2022-09-25,16,0.7275449101796407,14.294117647058824,19,9.27777777777778,70,Tyler Reddick,0.2095808383233532
2022,31,YellaWood 500,Talladega Superspeedway,2022-10-02,6,0.8670212765957447,23.285714285714285,17,3.298245614035088,36,Aric Almirola,0.1914893617021276
2022,32,Bank of America Roval 400,Charlotte Motor Speedway Road Course,2022-10-09,4,0.9107142857142856,20.4,8,10.181818181818182,30,Chase Elliott,0.2678571428571428
2022,33,South Point 400,Las Vegas Motor Speedway,2022-10-16,8,0.8426966292134831,25.0,11,14.052631578947368,68,Ross Chastain,0.2546816479400749
2022,34,Dixie Vodka 400,Homestead-Miami Speedway,2022-10-23,5,0.8876404494382022,39.5,5,22.25,199,Kyle Larson,0.7453183520599251
2022,35,Xfinity 500,Martinsville Speedway,2022-10-30,6,0.894,63.857142857142854,5,55.55555555555556,203,Denny Hamlin,0.406
2022,36,Cup Series Championship,Phoenix Raceway,2022-11-06,6,0.875,39.0,6,26.0,187,Joey Logano,0.5993589743589743
2023,1,Daytona 500,Daytona International Speedway,2023-02-19,8,0.8207547169811321,21.75,21,4.076923076923077,42,Brad Keselowski,0.1981132075471698
2023,2,Pala Casino 400,Auto Club Speedway,2023-02-26,8,0.81,18.0,13,6.896551724137931,91,Ross Chastain,0.455
2023,3,Pennzoil 400,Las Vegas Motor Speedway,2023-03-05,4,0.904059040590406,49.0,8,19.357142857142858,176,William Byron,0.6494464944649446
2023,4,United Rentals Work United 500,Phoenix Raceway,2023-03-12,5,0.889589905362776,47.0,6,28.818181818181817,201,Kyle Larson,0.6340694006309149
2023,5,Ambetter Health 400,Atlanta Motor Speedway,2023-03-19,5,0.8692307692307693,37.666666666666664,13,12.38095238095238,140,Joey Logano,0.5384615384615384
2023,6,EchoPark Automotive Grand Prix,Circuit of the Americas,2023-03-26,8,0.7733333333333333,6.444444444444445,7,4.411764705882353,41,Tyler Reddick,0.5466666666666666
2023,7,Toyota Owners 400,Richmond Raceway,2023-04-02,8,0.865,38.44444444444444,11,18.181818181818183,117,William Byron,0.2925
2023,8,Food City Dirt Race,Bristol Motor Speedway Dirt Track,2023-04-09,14,0.708,12.642857142857142,4,50.0,100,Christopher Bell,0.4
2023,9,NOCO 400,Martinsville Speedway,2023-04-16,5,0.875,58.333333333333336,9,36.36363636363637,135,Ryan Preece,0.3375
2023,10,GEICO 500,Talladega Superspeedway,2023-04-23,8,0.826530612244898,20.25,21,3.43859649122807,47,Ryan Blaney,0.2397959183673469
2023,11,Wurth 400,Dover Motor Speedway,2023-05-01,7,0.885,44.25,8,20.0,193,William Byron,0.4825
2023,12,Advent Health 400,Kansas Speedway,2023-05-07,11,0.7865168539325843,17.5,12,7.026315789473684,85,Kyle Larson,0.3183520599250936
2023,13,Goodyear 400,Darlington Raceway,2023-05-14,8,0.8406779661016949,27.555555555555557,8,15.526315789473683,145,Martin Truex Jr,0.4915254237288136
2023,14,Coca-Cola 600,Charlotte Motor Speedway,2023-05-29,16,0.7925,18.647058823529413,13,12.5,163,Ryan Blaney,0.4075
2023,15,Enjoy Illinois 300 presented by TicketSmarter,World Wide Technology Raceway at Gateway,2023-06-04,11,0.7242798353909465,14.666666666666666,5,24.3,121,Kyle Busch,0.4979423868312757
2023,16,Toyota Save Mart 350,Sonoma Raceway,2023-06-11,2,0.9454545454545454,34.666666666666664,6,10.0,51,Martin Truex Jr,0.4636363636363636
2023,17,Ally 400,Nashville Superspeedway,2023-06-25,4,0.92,55.2,12,13.636363636363637,99,Ross Chastain,0.33
2023,18,Grant Park 220,Chicago Street Course,2023-07-02,9,0.7307692307692307,5.7,5,11.142857142857142,37,Christopher Bell,0.4743589743589743
2023,19,Quaker State 400 Available at Walmart,Atlanta Motor Speedway,2023-07-09,7,0.7675675675675676,20.285714285714285,12,9.736842105263158,46,Aric Almirola,0.2486486486486486
2023,20,Crayon 301,New Hampshire Motor Speedway,2023-07-17,8,0.8637873754152824,28.88888888888889,9,21.5,254,Martin Truex Jr,0.8438538205980066
2023,21,HighPoint.com 400,Pocono Raceway,2023-07-23,11,0.725,10.545454545454543,9,10.666666666666666,60,William Byron,0.375
2023,22,Cook Out 400,Richmond Raceway,2023-07-30,3,0.9475,94.75,8,21.05263157894737,102,Brad Keselowski,0.255
2023,23,FireKeepers Casino 400,Michigan International Speedway,2023-08-07,9,0.785,15.7,16,7.6923076923076925,52,Chris Buescher,0.26
2023,24,Verizon 200 at the Brickyard,Indianapolis Grand Prix Circuit,2023-08-13,1,0.9634146341463414,39.5,7,7.454545454545454,54,Michael McDowell,0.6585365853658537
2023,25,Go Bowling at the Glen,Watkins Glen International,2023-08-20,1,0.9555555555555556,43.0,5,12.857142857142858,66,William Byron,0.7333333333333333
2023,26,Coke Zero Sugar 400,Daytona International Speedway,2023-08-26,3,0.8895705521472392,36.25,17,7.086956521739131,67,Chase Briscoe,0.4110429447852761
2023,27,Cook Out Southern 500,Darlington Raceway,2023-09-03,8,0.8610354223433242,35.111111111111114,7,26.214285714285715,177,Denny Hamlin,0.4822888283378747
2023,28,Hollywood Casino 400,Kansas Speedway,2023-09-10,9,0.832089552238806,22.3,10,13.4,99,Kyle Larson,0.3694029850746269
2023,29,Bass Pro Shops Night Race,Bristol Motor Speedway,2023-09-16,6,0.894,63.857142857142854,6,45.45454545454545,187,Christopher Bell,0.374
2023,30,AutoTrader EchoPark Automotive 400,Texas Motor Speedway,2023-09-24,11,0.7940074906367042,17.666666666666668,13,11.608695652173912,111,Bubba Wallace,0.4157303370786517
2023,31,YellaWood 500,Talladega Superspeedway,2023-10-01,4,0.898936170212766,33.8,24,2.6857142857142855,48,Joey Logano,0.2553191489361702
2023,32,Bank of America ROVAL 400,Charlotte Motor Speedway Road Course,2023-10-08,7,0.8348623853211009,11.375,6,13.625,46,A.J. Allmendinger,0.4220183486238532
2023,33,South Point 400,Las Vegas Motor Speedway,2023-10-15,7,0.8651685393258427,28.875,7,12.714285714285714,133,Kyle Larson,0.49812734082397
2023,34,4EVER 400 Presented by Mobil 1,Homestead-Miami Speedway,2023-10-22,5,0.8689138576779026,38.666666666666664,9,10.26923076923077,96,Kyle Larson,0.3595505617977528
2023,35,Xfinity 500,Martinsville Speedway,2023-10-29,7,0.878,54.875,6,38.46153846153846,156,Denny Hamlin,0.312
2023,36,Cup Series Championship,Phoenix Raceway,2023-11-05,4,0.9134615384615384,57.0,8,16.42105263157895,157,Ross Chastain,0.5032051282051282
2024,1,Daytona 500,Daytona International Speedway,2024-02-19,5,0.9,36.0,20,4.761904761904762,45,Joey Logano,0.225
2024,2,Ambetter Health 400,Atlanta Motor Speedway,2024-02-25,10,0.75,17.727272727272727,14,5.416666666666667,58,Todd Gilliland,0.2230769230769231
2024,3,Pennzoil 400 presented by Jiffy Lube,Las Vegas Motor Speedway,2024-03-03,6,0.8689138576779026,33.142857142857146,15,10.68,181,Kyle Larson,0.6779026217228464
2024,4,Shriners Children's 500,Phoenix Raceway,2024-03-10,6,0.8717948717948718,38.857142857142854,6,31.2,68,Denny Hamlin,0.2179487179487179
2024,5,Food City 500,Bristol Motor Speedway,2024-03-17,9,0.804,40.2,16,9.090909090909092,163,Denny Hamlin,0.326
2024,6,EchoPark Automotive Grand Prix,Circuit of the Americas,2024-03-24,2,0.9411764705882352,21.333333333333332,7,5.666666666666667,42,William Byron,0.6176470588235294
2024,7,Toyota Owners 400,Richmond Raceway,2024-03-31,5,0.8673218673218673,58.833333333333336,7,25.4375,228,Martin Truex Jr,0.5601965601965602
2024,8,Cook Out 400,Martinsville Speedway,2024-04-07,5,0.8771084337349397,60.666666666666664,8,29.642857142857142,88,William Byron,0.2120481927710843
2024,9,Autotrader EchoPark Automotive 400,Texas Motor Speedway,2024-04-14,16,0.7391304347826086,12.75,13,11.5,77,Kyle Larson,0.2789855072463768
2024,10,GEICO 500,Talladega Superspeedway,2024-04-21,4,0.8882978723404256,33.4,23,2.5753424657534247,36,Michael McDowell,0.1914893617021276
2024,11,Wurth 400,Dover Motor Speedway,2024-04-28,5,0.895,59.666666666666664,9,30.76923076923077,136,Denny Hamlin,0.34
2024,12,Advent Health 400,Kansas Speedway,2024-05-05,7,0.8395522388059702,28.125,10,9.241379310344827,71,Denny Hamlin,0.2649253731343283
2024,13,Goodyear 400,Darlington Raceway,2024-05-12,6,0.8703071672354948,36.42857142857143,10,17.235294117647058,174,Tyler Reddick,0.5938566552901023
2024,14,Coca-Cola 600,Charlotte Motor Speedway,2024-05-26,7,0.8152610441767069,29.0,10,11.318181818181818,90,Christopher Bell,0.3614457831325301
2024,15,Enjoy Illinois 300 presented by TicketSmarter,World Wide Technology Raceway at Gateway,2024-06-02,5,0.8666666666666667,34.666666666666664,10,14.117647058823527,80,Christopher Bell,0.3333333333333333
2024,16,Toyota Save Mart 350,Sonoma Raceway,2024-06-09,8,0.8,9.77777777777778,8,10.0,35,Tyler Reddick,0.3181818181818182
2024,17,Iowa Corn 350 Powered by Ethanol,Iowa Speedway,2024-06-16,8,0.86,33.44444444444444,9,19.444444444444443,201,Ryan Blaney,0.5742857142857143
2024,18,USA Today 301,New Hampshire Motor Speedway,2024-06-23,14,0.7213114754098361,14.666666666666666,5,43.57142857142857,149,Christopher Bell,0.4885245901639344
2024,19,Ally 400,Nashville Superspeedway,2024-06-30,15,0.7613293051359517,15.75,9,15.761904761904765,131,Christopher Bell,0.3957703927492447
2024,20,Grant Park 165,Chicago Street Course,2024-07-07,5,0.6724137931034483,6.5,6,6.444444444444445,17,Ty Gibbs,0.293103448275862
2024,21,The Great American Getaway 400,Pocono Raceway,2024-07-14,8,0.7875,14.0,8,17.77777777777778,44,Ryan Blaney,0.275
2024,22,Brickyard 400,Indianapolis Motor Speedway,2024-07-21,10,0.7964071856287425,13.3,13,8.789473684210526,40,Tyler Reddick,0.2395209580838323
2024,23,Cook Out 400,Richmond Raceway,2024-08-11,4,0.9362745098039216,95.5,9,15.11111111111111,124,Denny Hamlin,0.3039215686274509
2024,24,FireKeepers Casino 400,Michigan International Speedway,2024-08-18,7,0.8009708737864077,20.625,16,7.923076923076923,41,Kyle Larson,0.1990291262135922
2024,25,Coke Zero Sugar 400,Daytona International Speedway,2024-08-24,7,0.7926829268292683,16.25,16,4.0,34,Joey Logano,0.2073170731707317
2024,26,Cook Out Southern 500,Darlington Raceway,2024-09-01,7,0.8937329700272479,41.0,11,13.592592592592592,263,Kyle Larson,0.7166212534059946
2024,27,Quaker State 400 available at Walmart,Atlanta Motor Speedway,2024-09-08,8,0.8345864661654135,27.75,14,10.64,92,Austin Cindric,0.3458646616541353
2024,28,Go Bowling at the Glen,Watkins Glen International,2024-09-15,7,0.7717391304347826,8.875,9,7.666666666666667,51,Ross Chastain,0.5543478260869565
2024,29,Bass Pro Shops Night Race,Bristol Motor Speedway,2024-09-21,5,0.928,77.33333333333333,4,55.55555555555556,462,Kyle Larson,0.924
2024,30,Hollywood Casino 400 Presented by ESPN Bet,Kansas Speedway,2024-09-29,10,0.8239700374531835,20.0,15,8.612903225806452,122,Christopher Bell,0.4569288389513108
2024,31,YellaWood 500,Talladega Superspeedway,2024-10-06,4,0.8769230769230769,34.2,24,2.91044776119403,42,Michael McDowell,0.2153846153846154
2024,32,Bank of America ROVAL 400,Charlotte Motor Speedway Road Course,2024-10-13,5,0.8807339449541285,16.0,6,13.625,62,Kyle Larson,0.5688073394495413
2024,33,South Point 400,Las Vegas Motor Speedway,2024-10-20,5,0.8801498127340824,39.166666666666664,10,19.071428571428573,155,Christopher Bell,0.5805243445692884
2024,34,Straight Talk Wireless 400,Homestead-Miami Speedway,2024-10-27,6,0.8876404494382022,33.857142857142854,11,7.852941176470588,97,Tyler Reddick,0.3632958801498127
2024,35,XFINITY 500,Martinsville Speedway,2024-11-03,9,0.868,43.4,7,31.25,170,Brad Keselowski,0.34
2024,36,Cup Series Championship,Phoenix Raceway,2024-11-10,4,0.8942307692307693,55.8,9,18.352941176470587,143,Christopher Bell,0.4583333333333333
2025,1,Daytona 500,Daytona International Speedway,2025-02-16,8,0.7661691542288557,17.11111111111111,15,3.543859649122807,59,Austin Cindric,0.292079207920792
2025,2,Ambetter Health 400,Atlanta Motor Speedway,2025-02-23,11,0.7631578947368421,18.454545454545453,15,5.32,83,Joey Logano,0.3120300751879699
2025,3,EchoPark Automotive Grand Prix,Circuit of the Americas,2025-03-02,4,0.8421052631578947,16.0,9,4.523809523809524,42,Kyle Busch,0.4421052631578947
2025,4,Shriners Childrens 500,Phoenix Raceway,2025-03-09,10,0.7660256410256411,21.727272727272727,6,18.352941176470587,105,Christopher Bell,0.3365384615384615
2025,5,Pennzoil 400,Las Vegas Motor Speedway,2025-03-16,9,0.8014981273408239,21.4,13,8.090909090909092,61,Kyle Larson,0.2284644194756554
2025,6,Straight Talk Wireless 400,Homestead-Miami Speedway,2025-03-23,4,0.898876404494382,48.0,9,9.535714285714286,124,Ryan Blaney,0.4644194756554307
2025,7,Cook Out 400,Martinsville Speedway,2025-03-30,10,0.785,28.545454545454547,6,40.0,274,Denny Hamlin,0.685
2025,8,Goodyear 400,Darlington Raceway,2025-04-06,8,0.8484848484848485,28.0,4,59.4,243,William Byron,0.8181818181818182
2025,9,Food City 500,Bristol Motor Speedway,2025-04-13,3,0.92,115.0,4,100.0,411,Kyle Larson,0.822
